種類,種名,銃,わな,あみ,狩猟可能な性別,狩猟可能な数,狩猟禁止区域,主な生息地（日本国内）,備考
哺乳類,イノシシ,○,○,△,オスメス,,,本州、四国、九州、淡路島 (沖縄は亜種リュウキュウイノシシ),
哺乳類,ニホンジカ,○,○,△,オスメス,,,北海道(エゾシカ)、本州、四国、九州,
哺乳類,ツキノワグマ,○,✕,△,オスメス,,三重県、奈良県、和歌山県、島根県、広島県、山口県、徳島県、香川県、愛媛県、高知県,本州、四国 ,IUCN VU
哺乳類,ヒグマ,○,✕,△,オスメス ,,,北海道,
哺乳類,タヌキ,○,○,△,オスメス,,,全国 (北海道はエゾタヌキ),
哺乳類,キツネ,○,○,△,オスメス,,,全国 (北海道はキタキツネ),
哺乳類,ノウサギ,○,○,○,オスメス,,,本州、四国、九州,
哺乳類,ユキウサギ,○,○,○,オスメス,,,北海道,
哺乳類,テン,○,○,△,オスメス,,(※亜種ツシマテンを除く),本州、四国、九州 ,
哺乳類,アナグマ,○,○,△,オスメス,,,本州、四国、九州,
哺乳類,イタチ,○,○,△,オス,,,本州、四国、九州 (北海道は人為移入),
哺乳類,チョウセンイタチ,○,○,△,オス,,,西日本中心,（外来種）
哺乳類,ミンク,○,○,△,オスメス,,,北海道、長野など,（外来種）
哺乳類,アライグマ,○,○,△,オスメス,,,全国,（外来種）
哺乳類,ハクビシン,○,○,△,オスメス,,,本州、四国、九州,（外来種）
哺乳類,ヌートリア,○,○,△,オスメス,,,本州西部（岡山、兵庫、京都など）,（外来種）
哺乳類,タイワンリス,○,○,△,オスメス,,,神奈川、静岡、大阪など局所的,（外来種）
哺乳類,シマリス,○,○,△,オスメス,,北海道,北海道 (本州等で見られるのは外来種),（外来種）
哺乳類,ノイヌ,○,○,△,オスメス,,,全国（野生化したイヌ）,（外来種）
哺乳類,ノネコ,○,○,△,オスメス,,,全国（野生化したネコ）,（外来種）
鳥類,ヒドリガモ,○,✕,○,オスメス,"5羽/日,200羽/期",,全国（冬鳥）,
鳥類,マガモ,○,✕,○,オスメス,"5羽/日,200羽/期",,全国（冬鳥・一部留鳥）,
鳥類,カルガモ,○,✕,○,オスメス,"5羽/日,200羽/期",,全国（留鳥）,
鳥類,ハシビロガモ,○,✕,○,オスメス,"5羽/日,200羽/期",,全国（冬鳥）,
鳥類,オナガガモ,○,✕,○,オスメス,"5羽/日,200羽/期",,全国（冬鳥）,
鳥類,コガモ,○,✕,○,オスメス,"5羽/日,200羽/期",,全国（冬鳥）,
鳥類,キンクロハジロ,○,✕,○,オスメス,"5羽/日,200羽/期",,全国（冬鳥）,
鳥類,スズガモ,○,✕,○,オスメス,"5羽/日,200羽/期",,全国（冬鳥・沿岸部）,
鳥類,クロガモ,○,✕,○,オスメス,"5羽/日,200羽/期",,北日本（冬鳥）,
鳥類,ヨシガモ,○,✕,○,オスメス,"5羽/日,200羽/期",,全国（冬鳥）,IUCN LC
鳥類,ホシハジロ,○,✕,○,オスメス,"5羽/日,200羽/期",,全国（冬鳥）,IUCN VU
鳥類,ヤマシギ,○,✕,○,オスメス,,,全国（冬鳥・一部留鳥）,
鳥類,タシギ,○,✕,○,オスメス,,,全国（冬鳥・旅鳥）,
鳥類,キジバト,○,✕,○,オスメス,10羽/日,,全国（留鳥・漂鳥）,
鳥類,カワウ,○,✕,○,オスメス,,,全国（留鳥・漂鳥）,
鳥類,ヒヨドリ,○,✕,○,オスメス,,小笠原、奄美、沖縄,全国（留鳥）,
鳥類,ムクドリ,○,✕,○,オスメス,,,全国（留鳥・漂鳥）,
鳥類,スズメ,○,✕,○,オスメス,,,全国（留鳥）,
鳥類,ニュウナイスズメ,○,✕,○,オスメス,,,全国（留鳥）,
鳥類,ハシボソガラス,○,✕,○,オスメス,,,全国（留鳥）,
鳥類,ハシブトガラス,○,✕,○,オスメス,,,全国（留鳥）,
鳥類,ミヤマガラス,○,✕,○,オスメス,,,西日本中心（冬鳥）,
鳥類,エゾライチョウ,○,✕,○,オスメス,2羽/日,,北海道,
鳥類,キジ,○,✕,○,オス,2羽/日(ヤマドリ含）,,本州、四国、九州 (北海道・対馬はコウライキジ),
鳥類,ヤマドリ,○,✕,○,オス,2羽/日（キジ含）, (※亜種コシジロヤマドリを除く),本州、四国、九州,IUCN LC
鳥類,コジュケイ,○,✕,○,オスメス,5羽/日,,本州（太平洋側）、四国、九州,（外来種）
